param: place penalty service :=
1 2 1515 60
2 2 4105 130
3 4 4217 70
4 2 6660 20
5 1 7157 150
6 1 7159 120
7 1 7159 80
8 2 7159 45
9 1 7159 60
10 1 7449 60
11 4 7449 270
12 1 8142 180
13 1 8142 45
14 1 9332 80
15 1 9332 60
16 2 10460 35
17 1 11379 50
18 1 12958 90
19 1 12958 45
20 1 13330 180
21 5 15531 40
22 4 15744 90
23 1 15744 40
24 4 15804 25
25 2 15892 45
26 1 16434 80
27 1 17058 150
28 1 18981 120
29 1 18981 90
30 2 19367 60
31 2 21935 35
32 2 22352 60
33 2 22582 40
34 2 23052 50
35 1 24854 80
36 2 27491 65
37 4 28122 120
38 1 28543 100
39 1 31385 60
40 2 32594 30
41 1 33009 80
42 2 33009 120
43 1 33199 40
44 4 33541 60
45 4 33654 120
46 4 34214 90
47 2 34241 70
48 1 35676 60
49 1 36894 180
50 2 37478 60
51 1 38396 20
52 4 41008 40
53 1 43218 120
54 1 44821 80
55 1 45391 160
56 4 45410 100
57 1 45621 90
58 1 47593 60
59 1 48874 75
60 1 49107 60
61 2 50064 60
62 1 50518 55
63 1 51978 60
64 2 52440 150
65 2 52440 60
66 2 52540 90
67 1 52719 5
68 1 53817 120
69 1 56535 110
70 1 57308 120
71 1 57463 90
72 1 57984 120
73 1 60431 60
74 1 60616 65
75 2 67051 100
76 1 72208 80
77 5 73980 50
78 1 84881 90
79 1 88248 40
80 2 90213 75
81 1 4642 120
82 1 6578 120
83 4 6680 120
84 4 7678 200
85 5 11532 75
86 4 12890 10
87 1 16284 120
88 1 16284 60
89 1 16284 60
90 1 18664 60
91 1 18664 140
92 2 20920 180
93 5 23398 120
94 4 31488 90
95 6 0 0
96 6 0 0
97 6 0 0
;
