param: place penalty service :=
1 2 2118 60
2 1 4248 120
3 1 71127 120
4 3 209 120
5 3 44961 200
6 5 47471 75
7 2 54242 30
8 3 36088 10
9 1 55381 120
10 1 51763 120
11 1 53209 60
12 1 57380 110
13 1 60822 60
14 1 35885 60
15 2 33710 90
16 1 541 55
17 1 424 60
18 1 486 30
19 3 724 45
20 1 560 50
21 1 562 120
22 1 750 60
23 1 386 140
24 1 670 50
25 1 37980 60
26 2 103987 80
27 2 111441 180
28 1 85 120
29 5 1048 120
30 1 1289 90
31 2 53598 215
32 1 1612 20
33 1 47773 60
34 1 43338 90
35 1 61906 60
36 3 439 30
37 2 53511 150
38 2 40993 60
39 1 58225 50
40 4 43222 90
41 5 300 150
42 3 4611 50
43 1 3909 180
44 1 299 90
45 3 192 60
46 1 215 165
47 3 164 30
48 1 8915 90
49 1 1366 120
50 1 1410 235
51 1 50258 120
52 3 1677 1
53 2 63018 230
54 2 38933 170
55 1 48502 240
56 2 57901 80
57 1 1052 150
58 2 1800 85
59 1 2982 55
60 2 71306 60
61 3 50751 180
62 1 7701 1
63 2 1506 120
64 5 2145 90
65 1 41874 120
66 1 44715 60
67 1 46510 40
68 1 993 60
69 1 23498 120
70 3 14826 135
71 2 8277 65
72 5 55553 60
73 1 49917 360
74 1 46243 55
75 1 40419 90
76 1 1056 90
77 2 120 50
78 5 283 20
79 2 35621 100
80 3 40886 60
81 3 1253 120
82 3 45254 60
83 5 525 20
84 1 47668 15
85 1 53015 35
86 2 151 120
87 1 33604 210
88 4 82 100
89 2 9299 80
90 1 42084 30
91 2 638 90
92 1 1306 360
93 1 1516 60
94 1 846 75
95 1 1544 120
96 1 864 110
97 1 1864 90
98 5 552 420
99 1 782 30
100 2 6138 60
101 1 8800 207
102 2 1786 25
103 1 116 90
104 1 166 90
105 1 3958 60
106 2 5020 30
107 3 2412 60
108 3 176 150
109 1 10898 60
110 3 9236 90
111 2 504 75
112 1 418 60
113 1 430 120
114 1 548 60
115 1 464 100
116 1 1668 60
117 4 23212 30
118 1 5946 240
119 2 318 70
120 1 170 90
121 1 660 140
122 6 0 0
123 6 0 0
124 6 0 0
;
