"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"1","A.F.P. PROVIDA S.A.","Providencia",2,"P. DE VALDIVIA 100 PISO 5",191,3,60,"PR","191_PR_3",1617.07797723183,1374.79630751888,1199.0842385649,1020.48248931095,823.292536776541,691.346484928358,657.447661629894
"2","A.F.P. PROVIDA S.A.","Providencia",2,"PEDRO DE VALDIVIA 100  PISO 3",101,2,60,"PR","101_PR_2",1617.07797723183,1374.79630751888,1199.0842385649,1020.48248931095,823.292536776541,691.346484928358,657.447661629894
"3","A.F.P. SANTA MARIA S.A.","Providencia",2,"SUECIA  211  P. 13",1,1,90,"PR","1_PR_1",1717.70537607692,1463.25545839424,1301.88437248357,1128.04384599574,1028.31789638834,811.335475885244,755.066719193646
"4","A.F.P. SUMMA-BANSANDER S.A.","Santiago",1,"AGUSTINAS 540 PISO 3",341,5,70,"SA","341_SA_5",1729.86415322442,1505.38463618345,1324.52063063923,1151.31709786217,1075.80112120359,1058.47561393417,778.699632756557
"5","ABASTIBLE SA","Santiago",1,"VICUóA MACKENNA 55 OF.303",102,2,120,"SA","102_SA_2",1767.37673306776,1519.07926094965,1327.08515043701,1177.5470959575,1147.60520345162,1090.90107003618,851.248706559716
"6","ACTION LINE CHILE S.A.","Santiago",1,"MAC IVER 440 PISO 6",2,1,90,"SA","2_SA_1",1769.28887516024,1531.34169048792,1332.45461273721,1184.06696317035,1152.87525170848,1154.64140264476,864.720852346749
"7","ADMINISTRADORA CMR FALABELLA LTDA","Santiago",1,"STA ELENA 1422",103,2,120,"SA","103_SA_2",1782.60704968719,1536.9185441816,1354.14525402525,1193.34125460086,1216.29473044049,1171.91150140095,912.32204635405
"8","AES GENER S.A.","Las Condes",3,"SANCHEZ FONTECILLA 310 P 3",104,2,120,"LC","104_LC_2",1802.21597889619,1568.48278441529,1377.79218927528,1233.14414841744,1230.2916737044,1231.21760451412,917.764607500944
"9","AG. DE ADUANA R. FUENZALIDA Y CIA. LTDA.","Providencia",2,"LA CONCEPCION 322 PISO 5 OF.504",271,4,60,"PR","271_PR_4",1815.19160441182,1575.90612771467,1389.79521023996,1248.62616989518,1236.72156787828,1243.37707330694,926.979893172266
"10","AHK BUSINESS CENTER","Las Condes",3,"BOSQUE NORTE 0440 OF.601 (1-2-5)",105,2,200,"LC","105_LC_2",1827.62192341496,1591.25025422504,1414.31574321458,1280.72686318121,1240.89146348719,1261.79679120401,934.7084292444
"11","ALGAS MARINAS S.A. ALGAMAR","Providencia",2,"FIDEL OTEIZA 1956  P 14",342,5,60,"PR","342_PR_5",1832.08070193205,1605.72060336957,1456.55462380728,1286.42878942619,1245.0237372355,1291.52455072773,969.584031730586
"12","ALIMENTOS MARINOS S.A.","Providencia",2,"MAR DEL PLATA 2111",192,3,130,"PR","192_PR_3",1838.52115576333,1618.78585650335,1457.96588052387,1297.91870503832,1245.24748938099,1306.73969155756,972.730577205022
"13","ALIMENTOS MULTIEXPORT S.A.","Las Condes",3,"ISIDORA GOYENECHEA  3621  P 17 TORRE B",193,3,70,"LC","193_LC_3",1851.26259047347,1622.17777683076,1490.98220424856,1323.75886444865,1258.07738101587,1319.93958124628,1001.81005375805
