#Nombre	DiaAten	ModelId		T.Servicio	Penalty
191_PR_3	-4	1	60	479154
101_PR_2	-3	1	60	479154
1_PR_1	-2	1	90	520232
341_SA_5	-6	1	70	529278
102_SA_2	-3	2	120	530302
2_SA_1	-2	2	90	532448
103_SA_2	-3	3	120	541116
104_LC_2	-3	4	120	550564
271_PR_4	-5	1	60	555362
105_LC_2	-3	5	200	565160
342_PR_5	-6	2	60	582038
192_PR_3	-4	2	130	582602
193_LC_3	-4	3	70	595796
272_LC_4	-5	2	130	602752
273_LC_4	-5	3	90	603404
343_LC_5	-6	3	45	605266
274_SA_4	-5	4	60	615892
3_SA_1	1	3	75	313616
106_NU_2	-3	6	75	629800
107_PR_2	-3	7	30	636092
344_LC_5	-6	4	120	636672
108_LC_2	-3	8	10	636672
345_SA_5	-6	5	150	639476
194_PR_3	-4	4	20	644612
4_LC_1	-2	4	120	647618
195_SA_3	-4	5	150	648066
5_SA_1	-2	5	90	652118
197_SA_3	-4	6	120	652118
346_LC_5	-6	6	70	652118
199_SA_3	-4	7	80	652118
196_PR_3	-4	8	45	652118
198_SA_3	-4	9	60	652118
6_SA_1	-2	6	30	655024
200_SA_3	-4	10	60	655024
201_LC_3	-4	11	270	655024
347_SA_5	-6	7	20	655522
7_SA_1	-2	7	290	659062
202_SA_3	-4	12	180	659062
8_SA_1	-2	8	60	659062
110_SA_2	-3	9	120	659062
111_SA_2	-3	10	120	659062
112_SA_2	-3	11	60	659062
109_SA_2	-3	12	110	659062
114_SA_2	-3	13	60	659062
113_SA_2	-3	14	60	659062
203_SA_3	-4	13	45	659062
115_PR_2	-3	15	90	659280
348_SA_5	-6	8	60	659984
349_SA_5	-6	9	15	659984
9_SA_1	-2	9	360	660436
10_SA_1	-2	10	60	660436
13_SA_1	-2	11	60	660436
14_SA_1	-2	12	90	660436
350_SA_5	-6	10	180	660436
12_SA_1	-2	13	75	660436
204_SA_3	-4	14	80	660436
205_SA_3	-4	15	60	660436
352_PR_5	-6	11	70	660436
11_SA_1	-2	14	120	660436
275_SA_4	-5	5	90	660436
276_SA_4	-5	6	60	660436
277_SA_4	-5	7	120	660436
120_SA_2	-3	16	55	660436
279_SA_4	-5	8	300	660436
280_NU_4	-5	9	60	660436
119_SA_2	-3	17	60	660436
124_SA_2	-3	18	30	660436
121_LC_2	-3	19	45	660436
122_SA_2	-3	20	50	660436
351_SA_5	-6	12	60	660436
118_SA_2	-3	21	120	660436
278_PR_4	-5	10	150	660436
116_SA_2	-3	22	60	660436
117_SA_2	-3	23	140	660436
123_SA_2	-3	24	50	660436
15_SA_1	-2	15	240	674788
125_SA_2	-3	25	60	675292
281_PR_4	-5	11	70	675292
282_LC_4	-5	12	90	676480
127_PR_2	-3	26	80	678700
206_PR_3	-4	16	35	678700
126_PR_2	-3	27	180	678700
353_SA_5	-6	13	5	679606
354_PR_5	-6	14	30	680840
16_SA_1	-2	16	110	683338
207_SA_3	-4	17	50	683338
128_SA_2	-3	28	120	684326
17_NU_1	-2	17	180	687202
129_NU_2	-3	29	120	687202
283_SA_4	-5	13	180	689030
355_LC_5	-6	15	150	689900
130_SA_2	-3	30	90	689900
356_SA_5	-6	16	150	690302
131_PR_2	-3	31	215	692166
18_SA_1	-2	18	90	694388
208_SA_3	-4	18	90	694388
