param: place penalty service :=
1 1 6863 70
2 2 7813 60
3 3 8041 45
4 3 8206 120
5 1 8223 150
6 3 8265 70
7 1 8319 20
8 1 8482 60
9 1 8482 15
10 1 8637 180
11 2 8637 70
12 1 8637 60
13 1 8847 5
14 2 8860 30
15 3 8943 150
16 1 8998 150
17 1 9156 60
18 3 9215 10
19 2 9215 70
20 3 9215 10
21 1 9215 10
22 2 9260 240
23 4 9385 10
24 2 9646 1
25 1 9652 120
26 1 9782 20
27 2 9804 15
28 2 9918 5
29 1 9923 120
30 1 9923 140
31 2 10093 30
32 3 10174 60
33 1 10516 60
34 2 10535 105
35 2 10574 170
36 2 10720 75
37 2 10724 30
38 2 10792 30
39 3 10949 60
40 3 11428 234
41 1 11521 60
42 2 11898 30
43 1 11991 240
44 1 12059 240
45 1 12254 60
46 1 12572 90
47 1 12691 90
48 1 12744 60
49 1 12754 90
50 3 12781 180
51 3 13702 75
52 2 13721 150
53 2 13721 35
54 2 14071 75
55 1 14996 90
56 1 15070 60
57 1 15070 10
58 5 15476 150
59 1 15796 60
60 2 17062 45
61 1 17274 120
62 3 19528 60
63 4 21448 120
64 2 22038 120
65 6 0 0
66 6 0 0
67 6 0 0
;
