#Nombre	DiaAten	ModelId		T.Servicio	Penalty
191_PR_3	-4	1	60	262716
101_PR_2	-3	1	60	262716
1_PR_1	-2	1	90	301724
341_SA_5	-6	1	70	311168
102_SA_2	-3	2	120	340158
2_SA_1	1	2	90	172771
103_SA_2	-3	3	120	364564
104_LC_2	-3	4	120	366738
271_PR_4	-5	1	60	370420
105_LC_2	-3	5	200	373508
342_PR_5	-6	2	60	387446
192_PR_3	-4	2	130	388702
193_LC_3	-4	3	70	400322
272_LC_4	-5	2	130	402012
273_LC_4	-5	3	90	402746
343_LC_5	-6	3	45	403116
274_SA_4	-5	4	60	419920
3_SA_1	-2	3	75	421230
106_NU_2	-3	6	75	428160
107_PR_2	-3	7	30	431328
344_LC_5	-6	4	120	442368
108_LC_2	2	8	10	221184
345_SA_5	-6	5	150	449550
194_PR_3	-4	4	20	456784
4_LC_1	-2	4	120	469894
195_SA_3	-4	5	150	471416
5_SA_1	1	5	90	237792
197_SA_3	-4	6	120	475584
346_LC_5	-6	6	70	475584
199_SA_3	-4	7	80	475584
196_PR_3	-4	8	45	475584
198_SA_3	-4	9	60	475584
6_SA_1	-2	6	30	478604
200_SA_3	-4	10	60	478604
201_LC_3	-4	11	270	478604
347_SA_5	-6	7	20	483906
7_SA_1	1	7	290	244415
202_SA_3	-4	12	180	488830
8_SA_1	-2	8	60	488830
110_SA_2	-3	9	120	488830
111_SA_2	-3	10	120	488830
112_SA_2	-3	11	60	488830
109_SA_2	-3	12	110	488830
114_SA_2	2	13	60	244415
113_SA_2	-3	14	60	488830
203_SA_3	-4	13	45	488830
115_PR_2	-3	15	90	497646
348_SA_5	5	8	60	249946
349_SA_5	-6	9	15	499892
9_SA_1	-2	9	360	501978
10_SA_1	-2	10	60	501978
13_SA_1	-2	11	60	501978
14_SA_1	-2	12	90	501978
350_SA_5	-6	10	180	501978
12_SA_1	-2	13	75	501978
204_SA_3	-4	14	80	501978
205_SA_3	-4	15	60	501978
352_PR_5	-6	11	70	501978
11_SA_1	-2	14	120	501978
275_SA_4	-5	5	90	501978
