param: place penalty service :=
1 2 2329 60
2 1 2443 120
3 1 51926 120
4 3 407 120
5 3 58352 200
6 5 51120 75
7 2 59374 30
8 3 32876 10
9 1 52599 120
10 1 67637 120
11 1 51921 60
12 1 48508 110
13 1 38723 60
14 1 26233 60
15 2 33576 90
16 1 314 55
17 1 625 60
18 1 386 30
19 3 754 45
20 1 677 50
21 1 813 120
22 1 592 60
23 1 736 140
24 1 385 50
25 1 49407 60
26 2 27544 80
27 2 111886 180
28 1 144 120
29 5 1355 120
30 1 1172 90
31 2 49448 215
32 1 677 20
33 1 35415 60
34 1 46674 90
35 1 62444 60
36 3 182 30
37 2 52051 150
38 2 28231 60
39 1 45847 50
40 4 49546 90
41 5 395 150
42 3 5369 50
43 1 3353 180
44 1 424 90
45 3 279 60
46 1 243 165
47 3 230 30
48 1 12685 90
49 1 1899 120
50 1 2026 235
51 1 144230 120
52 3 1877 1
53 2 43606 230
54 2 55500 170
55 1 62581 240
56 2 39318 80
57 1 1883 150
58 2 1639 85
59 1 2748 55
60 2 53407 60
61 3 30825 180
62 1 7041 1
63 2 635 120
64 5 1861 90
65 1 59828 120
66 1 56666 60
67 1 51694 40
68 1 1223 60
69 1 15764 120
70 3 18287 135
71 2 11758 65
72 5 57251 60
73 1 59796 360
74 1 81149 55
75 1 47870 90
76 1 684 90
77 2 119 50
78 5 296 20
79 2 74529 100
80 3 42667 60
81 3 717 120
82 3 42197 60
83 5 464 20
84 1 59459 15
85 1 77266 35
86 2 263 120
87 1 54113 210
88 4 94 100
89 2 9489 80
90 1 51646 30
91 3 2104 120
92 1 8110 30
93 1 852 360
94 1 1294 60
95 1 1506 90
96 1 2062 120
97 1 864 110
98 1 2298 90
99 5 626 420
100 1 824 30
101 1 1042 105
102 1 7512 207
103 2 2504 25
104 1 116 90
105 1 1960 60
106 1 2706 60
107 3 400 60
108 3 228 150
109 3 9568 90
110 2 736 75
111 1 402 60
112 1 416 120
113 1 612 60
114 1 2318 60
115 1 2110 100
116 2 184 70
117 1 3672 60
118 1 174 90
119 1 108 75
120 6 0 0
121 6 0 0
122 6 0 0
;
