param n_cols := 279;
param col_ini : 1 2 3 4 5 :=
1	61	62	45	63	8
2	23	33	30	25	56
3	11	36	52	61	56
4	13	16	26	30	1
5	1	63	62	9	18
6	13	5	26	30	55
7	37	35	38	21	39
8	45	7	8	33	63
9	52	27	57	33	5
10	47	30	59	12	56
11	43	41	31	28	37
12	12	25	31	42	54
13	10	12	37	32	19
14	3	50	63	21	8
15	2	17	11	18	50
16	57	25	4	39	61
17	13	8	5	17	30
18	46	57	45	12	10
19	28	2	50	15	21
20	17	12	26	63	16
21	41	9	55	5	21
22	28	19	22	9	1
23	3	2	28	43	33
24	13	16	26	33	5
25	13	24	38	11	58
26	13	7	26	43	33
27	13	16	7	30	48
28	13	16	9	30	55
29	55	13	27	52	36
30	2	28	60	36	59
31	48	59	57	54	35
32	26	16	17	1	55
33	20	2	22	28	27
34	37	11	61	26	62
35	1	21	58	34	36
36	1	3	61	34	51
37	2	30	38	28	21
38	36	18	51	3	2
39	11	35	38	13	8
40	48	56	8	37	5
41	25	33	49	32	6
42	2	52	27	11	12
43	57	1	12	10	45
44	45	57	12	46	25
45	12	33	43	62	63
46	30	56	57	28	11
47	16	56	12	9	36
48	58	35	37	60	38
49	20	32	58	36	31
50	24	27	32	54	42
51	38	6	3	54	34
52	36	52	28	38	18
53	52	58	11	24	60
54	27	57	5	25	41
55	25	2	28	37	19
56	34	38	60	51	32
57	56	8	10	46	26
58	15	18	31	53	24
59	43	25	17	62	63
60	15	20	19	27	36
61	44	49	13	7	57
62	18	22	14	19	31
63	22	3	51	62	63
64	61	18	28	2	24
65	51	20	61	62	63
66	2	58	22	62	63
67	23	62	61	11	63
68	17	21	48	62	30
69	35	3	37	11	54
70	55	56	24	25	12
71	3	6	19	28	62
72	21	34	19	61	38
73	8	11	19	18	50
74	4	6	12	18	51
75	4	6	12	56	57
76	31	1	21	33	8
77	20	42	47	59	8
78	27	58	37	25	55
79	41	7	47	27	52
80	13	33	8	30	47
81	12	34	24	57	48
82	13	16	21	30	55
83	1	41	19	39	62
84	22	11	24	51	18
85	13	8	7	30	10
86	11	38	42	27	61
87	20	40	18	37	51
88	1	30	57	48	8
89	13	16	57	12	10
90	48	16	21	7	55
91	13	16	26	5	45
92	29	45	31	60	58
93	13	16	9	29	55
94	4	21	61	51	62
95	23	2	5	21	30
96	54	52	14	36	11
97	15	1	38	9	8
98	25	42	62	38	52
99	1	28	23	11	30
100	3	11	1	57	13
101	8	54	3	62	48
102	30	1	11	27	37
103	33	12	8	57	48
104	13	25	9	47	35
105	32	23	36	49	26
106	31	19	62	2	38
107	6	4	24	19	58
108	28	16	55	45	56
109	12	59	7	17	56
110	62	34	42	28	4
111	45	49	57	28	53
112	36	38	47	1	45
113	41	27	11	34	38
114	10	1	7	59	56
115	52	36	42	38	24
116	2	23	37	35	38
117	61	12	45	26	56
118	30	7	48	45	59
119	26	16	33	30	63
120	59	57	5	56	47
121	16	9	45	17	25
122	30	1	57	7	41
123	56	47	29	26	41
124	36	53	11	58	60
125	47	36	63	4	51
126	6	30	63	53	62
127	34	8	25	27	62
128	11	36	57	31	37
129	23	38	51	15	61
130	45	37	16	49	28
131	55	34	33	63	48
132	10	1	33	57	49
133	25	24	17	30	36
134	18	2	53	60	19
135	47	55	25	56	20
136	16	4	24	38	39
137	12	7	11	38	60
138	28	51	4	32	62
139	62	15	51	11	42
140	16	21	57	56	12
141	30	13	8	45	29
