param n_cols := 185;
param col_ini : 1 2 3 4 5 :=
1	12	15	33	34	70
2	28	38	33	8	4
3	16	10	27	18	32
4	16	10	27	18	32
5	6	65	68	70	55
6	39	35	26	20	46
7	39	35	26	20	46
8	5	29	62	22	16
9	56	45	28	41	38
10	15	29	38	40	57
11	22	54	56	44	2
12	63	59	42	8	67
13	5	41	21	43	39
14	4	65	50	18	31
15	43	41	46	40	68
16	67	43	23	49	47
17	12	2	65	44	7
18	5	41	21	42	49
19	57	52	35	19	29
20	50	46	49	64	47
21	50	25	47	11	3
22	56	6	45	68	27
23	3	20	70	23	39
24	7	52	4	5	38
25	7	10	60	44	34
26	68	15	64	17	13
27	10	24	65	26	20
28	26	4	59	25	40
29	33	24	11	64	6
30	43	39	31	53	63
31	17	20	70	63	62
32	18	22	28	52	24
33	67	23	12	43	60
34	54	65	31	30	22
35	24	11	6	47	26
36	24	11	32	27	45
37	16	5	31	56	54
38	43	21	59	24	28
39	37	44	46	50	17
40	19	6	46	50	34
41	12	56	62	47	68
42	62	43	54	24	56
43	18	64	60	21	3
44	16	7	49	30	62
45	28	54	67	47	41
46	46	5	37	30	53
47	45	58	47	90	91
48	69	14	90	91	92
49	60	48	11	90	91
50	9	32	90	91	92
51	61	36	90	91	92
52	69	51	6	90	91
53	58	66	90	91	92
54	26	46	25	3	24
55	10	34	53	68	1
56	2	12	35	15	27
57	40	22	33	47	19
58	40	70	31	24	41
59	51	30	90	91	92
60	33	42	66	20	90
61	45	58	25	90	91
62	7	70	90	91	92
63	34	33	38	12	3
64	6	5	21	1	42
65	64	4	5	6	61
66	16	49	37	15	41
67	10	39	90	91	92
68	3	25	19	33	63
69	36	70	90	91	92
70	8	1	90	91	92
71	27	14	64	44	90
72	69	70	90	91	92
73	16	4	60	20	10
74	49	4	11	10	53
75	19	11	46	34	25
76	46	38	17	66	90
77	37	44	30	29	5
78	56	39	1	46	23
79	13	50	90	91	92
80	29	42	20	64	17
81	62	35	2	22	17
82	64	16	5	57	26
83	68	45	37	90	91
84	17	23	90	91	92
85	21	31	90	91	92
86	15	48	90	91	92
87	28	55	90	91	92
88	30	13	90	91	92
89	20	61	56	52	16
90	20	54	52	44	18
91	47	42	16	49	69
92	3	2	90	91	92
93	62	11	90	91	92
94	1	29	12	24	27
95	58	17	38	39	49
96	29	25	90	91	92
97	7	57	90	91	92
98	70	4	15	42	55
99	16	22	90	91	92
100	47	58	90	91	92
101	26	60	57	90	91
102	49	53	41	22	17
103	7	60	90	91	92
104	13	64	7	65	35
105	53	7	90	91	92
106	52	70	90	91	92
107	48	70	90	91	92
108	65	52	24	44	60
109	36	20	90	91	92
110	36	4	30	90	91
111	13	14	90	91	92
112	35	17	90	91	92
113	29	59	90	91	92
114	25	59	90	91	92
115	11	55	90	91	92
116	10	22	2	3	29
117	54	23	16	41	67
118	16	12	35	18	21
119	53	42	35	40	43
120	5	64	90	91	92
121	2	12	90	91	92
122	2	41	22	33	59
123	7	27	90	91	92
124	55	35	90	91	92
125	5	37	41	35	49
126	33	67	40	34	17
127	28	10	90	91	92
128	55	17	90	91	92
129	62	8	90	91	92
130	1	49	90	91	92
131	26	20	90	91	92
132	24	18	90	91	92
133	12	58	90	91	92
134	16	40	90	91	92
135	24	64	90	91	92
136	26	21	90	91	92
137	53	41	49	25	12
138	41	42	90	91	92
139	5	20	90	91	92
140	69	70	4	37	90
141	69	9	90	91	92
142	27	21	90	91	92
143	20	37	90	91	92
144	12	33	90	91	92
145	45	54	90	91	92
146	54	70	90	91	92
147	33	2	59	90	91
148	45	56	44	50	70
149	37	9	90	91	92
150	7	70	52	37	90
151	53	68	90	91	92
152	53	37	24	32	90
153	11	67	90	91	92
154	22	42	28	40	90
155	20	65	90	91	92
156	68	32	90	91	92
157	10	42	90	91	92
158	43	16	17	12	67
159	69	20	7	90	91
160	16	62	90	91	92
161	11	43	90	91	92
162	57	51	90	91	92
163	19	25	8	90	91
164	28	41	90	91	92
165	46	41	90	91	92
166	9	20	18	90	91
167	67	10	90	91	92
168	18	5	53	30	90
169	40	49	90	91	92
170	38	49	90	91	92
171	68	51	90	91	92
172	25	2	90	91	92
173	57	8	41	67	10
174	19	25	90	91	92
175	64	36	90	91	92
176	54	14	90	91	92
177	20	64	90	91	92
178	26	24	52	68	20
179	53	5	90	91	92
180	2	58	90	91	92
181	51	13	90	91	92
182	11	41	90	91	92
183	1	43	90	91	92
184	63	66	90	91	92
185	36	70	90	91	92
;
